brief_description_of_story,location,state,amount_rs,source,date,Month,investigating_authority,link
Four people arrested in Surat with notes of Rs 2000 worth 76 lakhs,Surat,Gujarat,7600000.0,Hindustan Times,2016-12-09,December,State Police,hindustantimes
2 detained by @MumbaiPolice #CrimeBranch from #Dadar with ₹85 lakhs new currency,"Dadar, Mumbai",Maharashtra,7200000.0,Twitter,2016-12-09,December,State Police,twitter
Crime Branch seized new notes worth Rs 10 lakh (approx) during search op,Gurugram,Haryana,1000000.0,ANI News,2016-12-09,December,State Police,twitter
New currency notes worth 18 lac seized by Police. One person taken into custody.,Jabalpur,Madhya Pradesh,1800000.0,Twitter,2016-12-09,December,State Police,twitter
2 persons arrested by police... new currency... near Ranavav,Porbandar,Gujarat,2146000.0,Gujarat Headline,2016-12-08,December,State Police,gujaratheadline
"In 100-Crore Cash Raid, Man Who Took Prasad For Jayalalithaa To Hospital [41]",Chennai,Tamil Nadu,100000000.0,NDTV,2016-12-09,December,Income Tax Dept,ndtv
"Income Tax department seizes Rs 24 crore cash in new currency from Vellore, reports PTI",Vellore,Tamil Nadu,240000000.0,Times of India,2016-12-10,December,Income Tax Dept,twitter
Jaipur: Two arrested with 16 lakh in new currency,Jaipur,Rajasthan,1600000.0,India TV,2016-12-10,December,State Police,youtube
CBI recovers Rs 70 lakh in new currency ... in raids on postal official's kin,Hyderabad,Telangana,7000000.0,ABP News,2016-12-10,December,CBI,twitter
Rs 5.7 cr in new notes from 'secret bathroom chamber'-  K'taka,Chitradurga,Karnataka,57000000.0,PTI,2016-12-10,December,Income Tax Dept,twitter
"Income Tax department seize Rs 7,20,000 in new Rs 2000 currency notes from Bhilwara",Bhilwara,Rajasthan,720000.0,ANI News,2016-12-10,December,Income Tax Dept,twitter
"4 nabbed with Rs. 21 lakh, 6,000 from Manekbaug area of the city.",Ahmedabad,Gujarat,2106000.0,TV9Gujarat,2016-12-10,December,TBD,twitter
"Police seize ...2 persons, allegedly involved in money exchange for commission, held",Kothur,Telangana,8200000.0,PTI,2016-12-10,December,State Police,twitter
"13 Crores Seized In Raid On Law Firm In South Delhi, Rs. 2 Crore In New Notes ",New Delhi,New Delhi,26000000.0,NDTV,2016-12-10,December,State Police,ndtv
Rs 14.51 lakh cash seized from house of financier in Bharuch,Bharuch,Gujarat,1402000.0,Indian Express,2016-12-11,December,State Police,indianexpress
Police arrest two realtors with Rs 22 lakh in new currency,Mysuru,Karnataka,2200000.0,Times of India,2016-12-11,December,State Police,timesofindia
"Rs 32 lakh in new currency seized in Telangana, Andhra",Ramayampet,Telangana,1600000.0,ABP News,2016-12-11,December,State Police,abplive
"Rs 32 lakh in new currency seized in Telangana, Andhra",Vijaywada,Andhra Pradesh,1800000.0,ABP News,2016-12-11,December,State Police,abplive
Rs 10 lakh in new notes found in doctor's chamber during ED raid,Kolkata,West Bengal,1000000.0,Times of India,2016-12-01,December,Enforcement Directorate,timesofindia
Notes of 2000 worth 2.5 crore seized in Nashik,Nashik,Maharashtra,25000000.0,Lokmat,2016-12-12,December,Enforcement Directorate,lokmat
"Rs 1.38 cr new currency notes, 2 kg gold seized by an IT team from a co-operative bank",Jaipur,Rajasthan,13800000.0,ABP News,2016-12-12,December,Income Tax Dept,twitter
